Estación,Mes,Año,Precip.,T. máx. abs.,T. mín. abs.,T. media de medias
MONTALBÁN,5,2018,48.2,25.3,-0.1,13.5
MONTALBÁN,3,2018,26.4,22.1,-2.5,7.6
MONTALBÁN,8,2018,46.2,35.4,9.2,22.1
MONTALBÁN,11,2018,40.6,18.2,-1.2,8.4
MONTALBÁN,1,2018,24.2,19.9,-3.6,6.2
MONTALBÁN,4,2018,78.2,24.2,-1.5,11.5
MONTALBÁN,2,2018,17.2,17.9,-3.3,7.3
MONTALBÁN,9,2018,95.8,31.3,8.5,19.3
MONTALBÁN,12,2018,12.4,21,-4.3,7.8
MONZÓN,8,2018,54.5,37.9,10.8,24.2
MONZÓN,5,2018,113.8,28.3,1.8,16.4
MONZÓN,10,2018,107.8,28.4,-0.9,14.6
MONZÓN,6,2018,16.3,35.6,10.6,21.7
MONZÓN,3,2018,49.6,22.5,-3.9,8.7
MONZÓN,11,2018,107.8,20.7,0,9.6
MONZÓN,7,2018,4.9,38.3,13.7,25.4
MONZÓN,4,2018,115.4,28.1,0.2,13.2
MONZÓN,2,2018,66.8,18,-1.1,8
MONZÓN,12,2018,16.1,17.8,-0.6,5.9
